DATABASE,TABLE,COLUMN,DATA_TYPE,NULLABLE,CONSTRAINT_TYPE,REFERENCE_TABLE_NAME,REFERENCE_COLUMN_NAME
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PDCITIZENKIDDISCOVERDATEFOUND,TIMESTAMP(6),Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PDCITIZENKIDDISCOVERPOLICEREPORTDATE,TIMESTAMP(6),Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PNMINISTRIECODEENTRUST,INTEGER,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PNSOCIALGOVERNORATECODEENTRUST,INTEGER,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PNSOCIALDEPARTMENTCODEENTRUST,BIGINT,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PNSOCIALORPHANGECODEENTRUST,INTEGER,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PNHEALTHCARECENTERCODEENTRUST,INTEGER,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PDCITIZENKIDDISCOVERDEATHDATE,TIMESTAMP(6),Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PDCITIZENKIDDISCOVERFAMILYHANDOVERDATE,TIMESTAMP(6),Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PNRELATIONCODEFAMILYHANDOVER,INTEGER,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PNCITIZENKIDDISCOVERPARENTPLACECODEMOTHER,INTEGER,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PNCITIZENKIDDISCOVERPARENTPLACECODEFATHER,INTEGER,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PNAPPLICATIONCODE,INTEGER,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PNCITIZENKIDDISCOVERCODEAPPLICATIONOTHER,BIGINT,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PNUSERCODE,INTEGER,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,DLASTDMLDATE,TIMESTAMP(6),Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,FDELETE,INTEGER,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,DATA_EXTRACTION_DATE,TIMESTAMP(6),N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,LOAD_ID,VARCHAR(60) CHARACTER SET UNICODE,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,MODIFIACTION_TYPE,VARCHAR(4) CHARACTER SET UNICODE,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,IS_TRANSFERRED,INTEGER,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,BATCH_ID,INTEGER,N, , , 
